GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
83,3,white,RingPlacement,-1,1,51,0,0,,
83,4,black,RingPlacement,-1,0,51,0,0,,
83,5,white,RingPlacement,-1,34,51,0,0,,
83,6,black,RingPlacement,-1,6,51,0,0,,
83,7,white,RingPlacement,-1,50,51,0,0,,
83,8,black,RingPlacement,-1,12,51,0,0,,
83,9,white,RingPlacement,-1,30,51,0,0,,
83,10,black,RingPlacement,-1,75,51,0,0,,
83,11,white,RingMovement,30,29,50,0,0,,
83,12,black,RingMovement,75,74,49,0,0,,
83,13,white,RingMovement,29,28,48,0,0,,
83,14,black,RingMovement,0,5,47,0,0,,
83,15,white,RingMovement,1,2,46,0,0,,
83,16,black,RingMovement,5,4,45,0,0,,
83,17,white,RingMovement,41,40,44,0,0,,
83,18,black,RingMovement,12,11,43,0,0,,
83,19,white,RingMovement,40,39,42,0,0,,
83,20,black,RingMovement,57,58,41,0,0,,
83,21,white,RingMovement,39,38,40,0,0,,
83,22,black,RingMovement,74,76,39,0,0,75,
83,23,white,RingMovement,28,31,38,0,0,29;30,
83,24,black,RingMovement,11,13,37,0,0,12,
83,25,white,RingMovement,50,49,36,0,0,,
83,26,black,RingMovement,6,7,35,0,0,,
83,27,white,RingMovement,2,3,34,0,0,,
83,28,black,RingMovement,76,77,33,0,0,,
83,29,white,RingMovement,38,42,32,0,0,39;40;41,
83,30,black,RingMovement,4,21,31,0,0,12,
83,31,white,RingMovement,34,33,30,0,0,,
83,32,black,RingMovement,21,20,29,0,0,,
83,33,white,RingMovement,31,32,28,0,0,,
83,34,black,RingMovement,77,78,27,0,0,,
83,35,white,RingMovement,32,22,26,0,0,,
83,36,black,RingMovement,20,19,30,0,1,,
83,37,black,RingMovement,19,20,29,0,1,,
83,38,white,RingMovement,42,43,28,0,1,,
83,39,black,RingMovement,13,12,32,0,2,,
83,40,black,RingMovement,7,6,31,0,2,,
83,41,white,RingMovement,3,0,30,0,2,2;1,
83,42,black,RingMovement,6,5,29,0,2,,
83,43,white,RingMovement,22,21,28,0,2,,
83,44,black,RingMovement,78,79,27,0,2,,
83,45,white,RingMovement,43,39,26,0,2,42;41;40,
83,46,black,RingMovement,79,80,25,0,2,,
83,47,white,RingMovement,39,44,24,0,2,40;41;42;43,
83,48,black,RingMovement,80,72,28,0,3,,black
84,1,white,RingPlacement,-1,35,51,0,0,,
84,2,black,RingPlacement,-1,9,51,0,0,,
84,3,white,RingPlacement,-1,37,51,0,0,,
84,4,black,RingPlacement,-1,82,51,0,0,,
84,5,white,RingPlacement,-1,8,51,0,0,,
84,6,black,RingPlacement,-1,69,51,0,0,,
84,7,white,RingPlacement,-1,27,51,0,0,,
84,8,black,RingPlacement,-1,12,51,0,0,,
84,9,white,RingPlacement,-1,34,51,0,0,,
84,10,black,RingPlacement,-1,40,51,0,0,,
84,11,white,RingMovement,34,33,50,0,0,,
84,12,black,RingMovement,9,10,49,0,0,,
84,13,white,RingMovement,8,7,48,0,0,,
84,14,black,RingMovement,10,18,47,0,0,,
84,15,white,RingMovement,35,36,46,0,0,,
84,16,black,RingMovement,69,68,45,0,0,,
84,17,white,RingMovement,7,6,44,0,0,,
84,18,black,RingMovement,82,81,43,0,0,,
84,19,white,RingMovement,6,5,42,0,0,,
84,20,black,RingMovement,40,39,41,0,0,,
84,21,white,RingMovement,33,32,40,0,0,,
84,22,black,RingMovement,12,11,39,0,0,,
84,23,white,RingMovement,32,31,38,0,0,,
84,24,black,RingMovement,39,38,37,0,0,,
84,25,white,RingMovement,31,30,41,1,0,,
84,26,white,RingMovement,30,29,40,1,0,,
84,27,black,RingMovement,68,67,39,1,0,,
84,28,white,RingMovement,29,28,38,1,0,,
84,29,black,RingMovement,18,17,37,1,0,,
84,30,white,RingMovement,36,35,36,1,0,,
84,31,black,RingMovement,81,83,35,1,0,82,
84,32,white,RingMovement,37,46,34,1,0,,
84,33,black,RingMovement,83,84,33,1,0,,
84,34,white,RingMovement,27,26,32,1,0,,
84,35,black,RingMovement,11,13,31,1,0,12,
84,36,white,RingMovement,46,45,30,1,0,,
84,37,black,RingMovement,38,41,29,1,0,39;40,
84,38,white,RingMovement,45,44,28,1,0,,
84,39,black,RingMovement,17,16,27,1,0,,
84,40,white,RingMovement,44,43,26,1,0,,
84,41,black,RingMovement,84,78,25,1,0,,
84,42,white,RingMovement,43,42,24,1,0,,
84,43,black,RingMovement,78,77,23,1,0,,
84,44,white,RingMovement,26,25,22,1,0,,
84,45,black,RingMovement,77,76,21,1,0,,
84,46,white,RingMovement,42,32,25,2,0,,
84,47,white,RingMovement,35,34,24,2,0,,
84,48,black,RingMovement,76,75,23,2,0,,
84,49,white,RingMovement,32,31,22,2,0,,
84,50,black,RingMovement,67,66,21,2,0,,
84,51,white,RingMovement,28,48,20,2,0,38,
84,52,black,RingMovement,16,15,19,2,0,,
84,53,white,RingMovement,31,33,18,2,0,32,
84,54,black,RingMovement,66,70,17,2,0,67;68;69,
84,55,white,RingMovement,48,47,16,2,0,,
84,56,black,RingMovement,70,71,15,2,0,,
84,57,white,RingMovement,47,49,14,2,0,48,
84,58,black,RingMovement,15,14,13,2,0,,
84,59,white,RingMovement,33,23,12,2,0,,
84,60,black,RingMovement,41,42,11,2,0,,
84,61,white,RingMovement,34,24,15,3,0,,white
85,1,white,RingPlacement,-1,68,51,0,0,,
85,2,black,RingPlacement,-1,24,51,0,0,,
85,3,white,RingPlacement,-1,82,51,0,0,,
85,4,black,RingPlacement,-1,35,51,0,0,,
85,5,white,RingPlacement,-1,84,51,0,0,,
85,6,black,RingPlacement,-1,74,51,0,0,,
85,7,white,RingPlacement,-1,32,51,0,0,,
85,8,black,RingPlacement,-1,11,51,0,0,,
85,9,white,RingPlacement,-1,26,51,0,0,,
85,10,black,RingPlacement,-1,52,51,0,0,,
85,11,white,RingMovement,84,83,50,0,0,,
85,12,black,RingMovement,52,51,49,0,0,,
85,13,white,RingMovement,68,67,48,0,0,,
85,14,black,RingMovement,35,34,47,0,0,,
85,15,white,RingMovement,67,66,46,0,0,,
85,16,black,RingMovement,11,12,45,0,0,,
85,17,white,RingMovement,82,81,44,0,0,,
85,18,black,RingMovement,34,33,43,0,0,,
85,19,white,RingMovement,83,77,42,0,0,,
85,20,black,RingMovement,12,13,41,0,0,,
85,21,white,RingMovement,32,31,40,0,0,,
85,22,black,RingMovement,33,36,39,0,0,34;35,
85,23,white,RingMovement,81,75,38,0,0,,
85,24,black,RingMovement,74,59,37,0,0,67,
85,25,white,RingMovement,77,76,36,0,0,,
85,26,black,RingMovement,59,58,35,0,0,,
85,27,white,RingMovement,75,60,34,0,0,68,
85,28,black,RingMovement,58,57,33,0,0,,
85,29,white,RingMovement,66,69,32,0,0,67;68,
85,30,black,RingMovement,51,50,31,0,0,,
85,31,white,RingMovement,69,70,30,0,0,,
85,32,black,RingMovement,13,14,29,0,0,,
85,33,white,RingMovement,31,30,28,0,0,,
85,34,black,RingMovement,50,49,27,0,0,,
85,35,white,RingMovement,76,78,26,0,0,77,
85,36,black,RingMovement,57,47,25,0,0,,
85,37,white,RingMovement,78,79,24,0,0,,
85,38,black,RingMovement,47,48,23,0,0,,
85,39,white,RingMovement,26,25,22,0,0,,
85,40,black,RingMovement,14,15,21,0,0,,
85,41,white,RingMovement,25,27,20,0,0,26,
85,42,black,RingMovement,24,23,19,0,0,,
85,43,white,RingMovement,30,29,18,0,0,,
85,44,black,RingMovement,23,22,17,0,0,,
85,45,white,RingMovement,60,61,16,0,0,,
85,46,black,RingMovement,49,53,15,0,0,50;51;52,
85,47,white,RingMovement,29,28,14,0,0,,
85,48,black,RingMovement,22,21,13,0,0,,
85,49,white,RingMovement,61,62,17,1,0,,
85,50,white,RingMovement,27,18,16,1,0,,
85,51,black,RingMovement,21,20,15,1,0,,
85,52,white,RingMovement,18,17,14,1,0,,
85,53,black,RingMovement,20,19,18,1,1,,
85,54,black,RingMovement,19,20,17,1,1,,
85,55,white,RingMovement,62,61,16,1,1,,
85,56,black,RingMovement,20,21,15,1,1,,
85,57,white,RingMovement,28,38,19,2,1,,
85,58,white,RingMovement,79,76,18,2,1,78;77,
85,59,black,RingMovement,15,16,22,2,2,,
85,60,black,RingMovement,53,52,21,2,2,,
85,61,white,RingMovement,38,39,20,2,2,,
85,62,black,RingMovement,16,15,19,2,2,,
85,63,white,RingMovement,61,63,18,2,2,62,
85,64,black,RingMovement,15,14,17,2,2,,
85,65,white,RingMovement,76,80,16,2,2,77;78;79,
85,66,black,RingMovement,14,13,15,2,2,,
85,67,white,RingMovement,63,64,14,2,2,,
85,68,black,RingMovement,21,22,13,2,2,,
85,69,white,RingMovement,80,72,12,2,2,,
85,70,black,RingMovement,22,23,11,2,2,,
85,71,white,RingMovement,72,71,10,2,2,,
85,72,black,RingMovement,23,24,14,2,3,,black
86,1,white,RingPlacement,-1,39,51,0,0,,
86,2,black,RingPlacement,-1,25,51,0,0,,
86,3,white,RingPlacement,-1,72,51,0,0,,
86,4,black,RingPlacement,-1,62,51,0,0,,
86,5,white,RingPlacement,-1,45,51,0,0,,
86,6,black,RingPlacement,-1,57,51,0,0,,
86,7,white,RingPlacement,-1,9,51,0,0,,
86,8,black,RingPlacement,-1,68,51,0,0,,
86,9,white,RingPlacement,-1,83,51,0,0,,
86,10,black,RingPlacement,-1,3,51,0,0,,
86,11,white,RingMovement,72,71,50,0,0,,
86,12,black,RingMovement,57,58,49,0,0,,
86,13,white,RingMovement,45,44,48,0,0,,
86,14,black,RingMovement,68,67,47,0,0,,
86,15,white,RingMovement,83,82,46,0,0,,
86,16,black,RingMovement,3,2,45,0,0,,
86,17,white,RingMovement,39,38,44,0,0,,
86,18,black,RingMovement,58,59,43,0,0,,
86,19,white,RingMovement,38,40,42,0,0,39,
86,20,black,RingMovement,25,24,41,0,0,,
86,21,white,RingMovement,40,41,40,0,0,,
86,22,black,RingMovement,67,66,39,0,0,,
86,23,white,RingMovement,82,81,38,0,0,,
86,24,black,RingMovement,24,23,37,0,0,,
86,25,white,RingMovement,9,8,36,0,0,,
86,26,black,RingMovement,62,61,35,0,0,,
86,27,white,RingMovement,81,84,34,0,0,82;83,
86,28,black,RingMovement,59,60,33,0,0,,
86,29,white,RingMovement,44,43,32,0,0,,
86,30,black,RingMovement,60,50,31,0,0,,
86,31,white,RingMovement,8,7,30,0,0,,
86,32,black,RingMovement,23,22,29,0,0,,
86,33,white,RingMovement,84,78,28,0,0,,
86,34,black,RingMovement,50,49,27,0,0,,
86,35,white,RingMovement,7,6,26,0,0,,
86,36,black,RingMovement,66,69,25,0,0,67;68,
86,37,white,RingMovement,6,5,24,0,0,,
86,38,black,RingMovement,61,63,28,0,1,62,
86,39,black,RingMovement,69,70,27,0,1,,
86,40,white,RingMovement,41,42,26,0,1,,
86,41,black,RingMovement,63,61,25,0,1,62,
86,42,white,RingMovement,5,4,29,1,1,,
86,43,white,RingMovement,43,46,28,1,1,44;45,
86,44,black,RingMovement,49,48,27,1,1,,
86,45,white,RingMovement,4,5,26,1,1,,
86,46,black,RingMovement,22,21,25,1,1,,
86,47,white,RingMovement,5,6,24,1,1,,
86,48,black,RingMovement,48,47,23,1,1,,
86,49,white,RingMovement,46,36,22,1,1,,
86,50,black,RingMovement,70,78,21,1,1,,
86,51,white,RingMovement,6,7,20,1,1,,
86,52,black,RingMovement,21,20,24,1,2,,
86,53,black,RingMovement,47,51,23,1,2,48;49;50,
86,54,white,RingMovement,42,32,22,1,2,,
86,55,black,RingMovement,78,77,21,1,2,,
86,56,white,RingMovement,71,73,20,1,2,72,
86,57,black,RingMovement,51,52,19,1,2,,
86,58,white,RingMovement,73,64,18,1,2,,
86,59,black,RingMovement,52,53,17,1,2,,
86,60,white,RingMovement,64,61,16,1,2,63;62,
86,61,black,RingMovement,77,76,15,1,2,,
86,62,white,RingMovement,36,35,14,1,2,,
86,63,black,RingMovement,76,75,13,1,2,,
86,64,white,RingMovement,7,8,12,1,2,,
86,65,black,RingMovement,53,54,11,1,2,,
86,66,white,RingMovement,32,31,10,1,2,,
86,67,black,RingMovement,54,55,9,1,2,,
86,68,white,RingMovement,61,60,8,1,2,,
86,69,black,RingMovement,55,56,12,1,3,,black
87,1,white,RingPlacement,-1,3,51,0,0,,
87,2,black,RingPlacement,-1,25,51,0,0,,
87,3,white,RingPlacement,-1,84,51,0,0,,
87,4,black,RingPlacement,-1,51,51,0,0,,
87,5,white,RingPlacement,-1,19,51,0,0,,
87,6,black,RingPlacement,-1,34,51,0,0,,
87,7,white,RingPlacement,-1,68,51,0,0,,
87,8,black,RingPlacement,-1,73,51,0,0,,
87,9,white,RingPlacement,-1,14,51,0,0,,
87,10,black,RingPlacement,-1,62,51,0,0,,
87,11,white,RingMovement,19,20,50,0,0,,
87,12,black,RingMovement,62,61,49,0,0,,
87,13,white,RingMovement,68,67,48,0,0,,
87,14,black,RingMovement,25,24,47,0,0,,
87,15,white,RingMovement,84,83,46,0,0,,
87,16,black,RingMovement,51,50,45,0,0,,
87,17,white,RingMovement,14,13,44,0,0,,
87,18,black,RingMovement,73,72,43,0,0,,
87,19,white,RingMovement,67,66,42,0,0,,
87,20,black,RingMovement,50,49,41,0,0,,
87,21,white,RingMovement,66,69,40,0,0,67;68,
87,22,black,RingMovement,34,33,39,0,0,,
87,23,white,RingMovement,69,70,38,0,0,,
87,24,black,RingMovement,49,48,37,0,0,,
87,25,white,RingMovement,13,12,36,0,0,,
87,26,black,RingMovement,24,23,35,0,0,,
87,27,white,RingMovement,12,11,34,0,0,,
87,28,black,RingMovement,48,47,33,0,0,,
87,29,white,RingMovement,11,15,32,0,0,12;13;14,
87,30,black,RingMovement,23,22,31,0,0,,
87,31,white,RingMovement,83,82,30,0,0,,
87,32,black,RingMovement,33,32,29,0,0,,
87,33,white,RingMovement,3,2,28,0,0,,
87,34,black,RingMovement,72,71,27,0,0,,
87,35,white,RingMovement,20,21,26,0,0,,
87,36,black,RingMovement,71,52,25,0,0,62,
87,37,white,RingMovement,70,78,24,0,0,,
87,38,black,RingMovement,32,31,23,0,0,,
87,39,white,RingMovement,15,16,22,0,0,,
87,40,black,RingMovement,61,60,21,0,0,,
87,41,white,RingMovement,16,17,20,0,0,,
87,42,black,RingMovement,60,59,19,0,0,,
87,43,white,RingMovement,21,4,18,0,0,12,
87,44,black,RingMovement,52,53,22,0,1,,
87,45,black,RingMovement,59,58,21,0,1,,
87,46,white,RingMovement,4,5,20,0,1,,
87,47,black,RingMovement,22,26,19,0,1,23;24;25,
87,48,white,RingMovement,5,6,18,0,1,,
87,49,black,RingMovement,31,30,17,0,1,,
87,50,white,RingMovement,2,1,16,0,1,,
87,51,black,RingMovement,53,52,15,0,1,,
87,52,white,RingMovement,6,7,14,0,1,,
87,53,black,RingMovement,30,29,18,0,2,,
87,54,black,RingMovement,58,57,17,0,2,,
